dbn,locationname,school_type,aca_p_13,com_p_13,eng_p_13,saf_p_13,p_q1a,,,,p_q1b,,,,p_q1c,,,,p_q1d,,,,p_q1e,,,,p_q1f,,,,p_q1g,,,,p_q1h,,,,p_q1i,,,,p_q1j,,,,p_q1k,,,,p_q1l,,,,p_q1m,,,,p_q1n,,,,p_q1o,,,,p_q1p,,,,p_q1q,,,,p_q1r,,,,p_q2a,,,,,p_q2b,,,,,p_q2c,,,,,p_q2d,,,,,p_q2e,,,,,p_q2f,,,,,p_q2g,,,,,p_q2h,,,,,p_q2i,,,,,p_q2j,,,,,p_q3a,,,,p_q3b,,,,p_q4a,,,,p_q4b,,,,p_q4c,,,,p_q4d,,,,p_q5a,,,,p_q5b,,,,p_q5c,,,,p_q7a,p_q7b,p_q7c,p_q7d,p_q7e,p_q7f,p_q7g,p_q7h,p_q7i,p_q7j,p_q8,,,,,,,,,,p_q9,,,,p_q10a,,,,p_q10b
02M655,Life Sciences Secondary School,MS/HS,7.38754,7.73129,7.1,7.3,7.78061,,,,7.01531,,,,7.5,,,,7.91237,,,,8.36022,,,,7.63158,,,,7.60638,,,,8.08511,,,,7.58242,,,,7.92105,,,,8.01546,,,,8.06701,,,,8.00532,,,,7.99479,,,,8.10526,,,,7.5,,,,6.8956,,,,6.96023,,,,7.4,,,,,7.6,,,,,7.8,,,,,7.2,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,3.36022,,,,Not Scored,,,,7.73684,,,,7.76316,,,,8.28947,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,6.25,,,,5.96154,,,,5.38462
02M896,Lower Manhattan Community Middle School,MS,8.64832,8.85948,8.6,9,9.05093,,,,8.61111,,,,8.72685,,,,9.15909,,,,9.19725,,,,8.88889,,,,8.85514,,,,8.83028,,,,8.66667,,,,8.79717,,,,8.77315,,,,8.69266,,,,8.83178,,,,8.63208,,,,8.78505,,,,8.72642,,,,8.46154,,,,9.2619,,,,9,,,,,8.8,,,,,9.1,,,,,8.8,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.1875,,,,Not Scored,,,,8.93868,,,,8.75,,,,8.88889,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.06818,,,,8.52273,,,,8.29545
03M009,P.S. 009 Sarah Anderson,ES,8.65195,8.85304,8.6,9.1,8.93862,,,,8.84271,,,,8.33546,,,,8.86598,,,,9.32768,,,,8.81783,,,,8.63816,,,,9.17095,,,,8.70513,,,,8.82088,,,,8.59056,,,,8.85363,,,,8.56397,,,,8.80491,,,,8.87597,,,,8.34459,,,,8.07203,,,,9.13564,,,,9.2,,,,,9,,,,,9,,,,,8.9,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.44094,,,,Not Scored,,,,8.86889,,,,8.98196,,,,9.20747,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.17568,,,,8.37838,,,,8.37838
03M054,J.H.S. 054 Booker T. Washington,MS,8.71781,8.67504,8.3,8.4,9.15067,,,,8.01942,,,,8.35922,,,,8.44778,,,,9.20543,,,,8.41216,,,,8.17554,,,,9.03509,,,,8.34787,,,,9.1361,,,,8.75965,,,,8.67761,,,,8.94737,,,,8.63153,,,,8.95146,,,,8.53635,,,,7.87726,,,,8.60721,,,,8.6,,,,,8.5,,,,,8.4,,,,,8,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.5,,,,Not Scored,,,,8.68395,,,,8.99704,,,,9.00394,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.52273,,,,8.63636,,,,7.72727
03M075,P.S. 075 Emily Dickinson,ES,8.40535,8.49344,8.4,8.4,8.6859,,,,8.34052,,,,8.31545,,,,8.61702,,,,8.88646,,,,8.47162,,,,8.16594,,,,8.71739,,,,8.54526,,,,8.40517,,,,8.28889,,,,8.58079,,,,8.37336,,,,8.42795,,,,8.54911,,,,7.98165,,,,7.68692,,,,8.14189,,,,8.5,,,,,8.5,,,,,8.5,,,,,8.2,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,8.19869,,,,Not Scored,,,,8.30435,,,,8.34052,,,,8.88158,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.46774,,,,8.30882,,,,8.28125
03M076,P.S. 076 A. Philip Randolph,ES/MS,8.64061,8.69646,8.2,8.5,8.7251,,,,8.53175,,,,8.63095,,,,8.85913,,,,8.92,,,,8.5743,,,,8.57,,,,8.6336,,,,8.43,,,,8.62103,,,,8.7,,,,8.7,,,,8.5241,,,,8.5743,,,,8.54,,,,8.34677,,,,8.30208,,,,8.51464,,,,8.5,,,,,8.5,,,,,8.8,,,,,8.6,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,5.47468,,,,Not Scored,,,,8.79668,,,,8.85892,,,,8.92259,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.45238,,,,8.92857,,,,8.45238
03M084,P.S. 084 Lillian Weber,ES,8.11595,8.18764,7.8,8.2,8.4607,,,,8.1441,,,,7.85242,,,,8.12775,,,,8.9,,,,7.91667,,,,7.81106,,,,8.72222,,,,7.91485,,,,8.16886,,,,8.3,,,,8.33333,,,,8.20946,,,,7.89414,,,,8.32589,,,,7.83565,,,,7.3445,,,,8.2093,,,,8.3,,,,,8.4,,,,,8.4,,,,,8,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,6.4527,,,,Not Scored,,,,7.87445,,,,8.18889,,,,8.81222,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,7.97619,,,,7.625,,,,7.5
03M087,P.S. 087 William Sherman,ES,7.918,8.20074,8.1,8.1,8.0814,,,,7.89037,,,,7.94463,,,,8.60368,,,,9.28451,,,,7.98822,,,,7.55993,,,,9.0625,,,,8.15833,,,,7.7,,,,8.08923,,,,8.17568,,,,8.04899,,,,8.07692,,,,8.21672,,,,7.58123,,,,6.77656,,,,7.53401,,,,8.1,,,,,8.7,,,,,8.3,,,,,7.9,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,8.69966,,,,Not Scored,,,,7.92662,,,,8.18182,,,,8.67003,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,7.3125,,,,7.75,,,,7.37179
03M145,"P.S. 145, The Bloomingdale School",ES,7.88192,8.36043,8.1,8.4,8.55714,,,,8.35714,,,,7.90936,,,,8.33815,,,,8.87427,,,,8.30409,,,,8.06548,,,,8.50299,,,,7.89941,,,,8.20809,,,,8.30882,,,,8.28488,,,,8.04094,,,,8.13609,,,,8.14417,,,,7.59259,,,,7.46774,,,,8.46519,,,,8.7,,,,,8.5,,,,,8.5,,,,,7.8,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.38095,,,,Not Scored,,,,8.32857,,,,8.36257,,,,8.50904,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,7.1875,,,,7.1875,,,,6.875
03M149,P.S. 149 Sojourner Truth,ES/MS,7.83033,7.89689,7.5,8,8.17073,,,,7.79503,,,,7.66975,,,,8.11321,,,,8.1129,,,,7.5487,,,,7.46774,,,,7.84314,,,,7.4375,,,,7.81646,,,,8.10127,,,,7.90625,,,,7.58013,,,,7.68987,,,,7.65924,,,,7.2651,,,,7.22826,,,,7.85714,,,,8.3,,,,,8.1,,,,,8,,,,,7.5,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,6.39073,,,,Not Scored,,,,7.94304,,,,7.93831,,,,8.11688,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.19444,,,,8.26389,,,,7.29167
03M163,P.S. 163 Alfred E. Smith,ES,8.2776,8.5247,8.4,8.5,8.51675,,,,8.59375,,,,8.04348,,,,8.99758,,,,9.35096,,,,8.61779,,,,8.23892,,,,9.05172,,,,8.0314,,,,8.44048,,,,8.38164,,,,8.49526,,,,8.30569,,,,8.20574,,,,8.38942,,,,7.99505,,,,7.69531,,,,8.63861,,,,8.7,,,,,8.7,,,,,8.3,,,,,7.9,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,8.21078,,,,Not Scored,,,,8.4375,,,,8.37379,,,,8.67225,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8,,,,8,,,,8
03M165,P.S. 165 Robert E. Simon,ES/MS,8.33509,8.37416,8,8.4,8.62293,,,,8.36085,,,,7.92262,,,,8.40261,,,,8.78954,,,,8.21002,,,,7.91667,,,,8.60577,,,,7.72727,,,,8.32151,,,,8.53529,,,,8.40047,,,,8.41449,,,,8.33729,,,,8.41507,,,,8.06931,,,,7.74675,,,,8.48601,,,,8.6,,,,,8.5,,,,,8.4,,,,,8.1,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,6.73267,,,,Not Scored,,,,8.21172,,,,8.40854,,,,8.66137,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.04348,,,,8.34507,,,,8.07143
03M166,P.S. 166 The Richard Rodgers School of The Arts and Technology,ES,8.36902,8.61478,8.4,8.6,8.62367,,,,8.46257,,,,8.54167,,,,8.54111,,,,9.28284,,,,8.47594,,,,8.21038,,,,9.00943,,,,8.69624,,,,8.45745,,,,8.31099,,,,8.42246,,,,8.3445,,,,8.28877,,,,8.7062,,,,8.08405,,,,7.79762,,,,8.61188,,,,8.7,,,,,8.8,,,,,8.6,,,,,8.4,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,8.14384,,,,Not Scored,,,,8.48916,,,,8.5462,,,,8.95664,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,7.88462,,,,8.46154,,,,7.88462
03M180,P.S. 180 Hugo Newman,ES/MS,8.55161,8.78356,8.6,8.8,8.96667,,,,8.80471,,,,8.25424,,,,9.03716,,,,8.98973,,,,8.64726,,,,8.87543,,,,8.9661,,,,8.53535,,,,8.81757,,,,8.88047,,,,8.75845,,,,8.55085,,,,8.80102,,,,8.85204,,,,8.64051,,,,8.40659,,,,9.11439,,,,9,,,,,8.8,,,,,8.7,,,,,8.4,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.5434,,,,Not Scored,,,,8.88502,,,,8.76736,,,,9.11661,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,7.75,,,,7.91667,,,,8.01724
03M185,P.S. 185 - The Early Childhood Discovery and Design Magnet School,ECC,8.44574,8.70964,8.5,8.8,8.81579,,,,8.78019,,,,8.21256,,,,8.87681,,,,8.96766,,,,8.59756,,,,8.53448,,,,8.89163,,,,8.46059,,,,8.84146,,,,8.57143,,,,8.69458,,,,8.65291,,,,8.68812,,,,8.73116,,,,8.16919,,,,8.03867,,,,8.80556,,,,9,,,,,8.9,,,,,8.5,,,,,8.4,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.8,,,,Not Scored,,,,8.79353,,,,8.75628,,,,8.93939,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.15789,,,,8.05556,,,,7.33333
03M191,P.S. 191 Amsterdam,ES/MS,7.98188,7.99199,7.9,8,8.0335,,,,7.71712,,,,7.81559,,,,8.31047,,,,8.40561,,,,7.85185,,,,8.00879,,,,8.03662,,,,7.87129,,,,8.00743,,,,7.97146,,,,7.99007,,,,7.96366,,,,7.97886,,,,7.82581,,,,7.56361,,,,7.4866,,,,8.15574,,,,8.1,,,,,8.1,,,,,8,,,,,7.8,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.71154,,,,Not Scored,,,,8.00125,,,,7.8616,,,,8.15625,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.25581,,,,8.10976,,,,8.09524
03M199,P.S. 199 Jessie Isador Straus,ES,8.49249,8.68408,8.7,8.7,8.69565,,,,8.49345,,,,8.20346,,,,9.13043,,,,9.46739,,,,8.9738,,,,8.48684,,,,9.18122,,,,8.44978,,,,8.62335,,,,8.55435,,,,8.61842,,,,8.29241,,,,8.5,,,,8.85965,,,,8.45349,,,,7.82143,,,,8.50225,,,,8.9,,,,,8.9,,,,,8.9,,,,,8.7,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,9.00219,,,,Not Scored,,,,8.74454,,,,8.82675,,,,9.03261,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.03571,,,,8.27586,,,,7.84483
03M208,P.S. 208 Alain L. Locke,ES,8.29963,8.44217,8.1,8.4,8.57664,,,,8.19853,,,,8.16176,,,,8.71324,,,,8.80597,,,,8.20896,,,,8.18182,,,,8.31439,,,,8.05147,,,,8.45588,,,,8.38235,,,,8.37591,,,,8.13869,,,,8.21691,,,,8.15299,,,,8.11111,,,,7.95455,,,,8.69048,,,,8.4,,,,,8.3,,,,,8.2,,,,,8.1,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.32955,,,,Not Scored,,,,8.69318,,,,8.36538,,,,8.22835,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.56061,,,,8.71212,,,,7.8125
03M241,STEM Institute of Manhattan,ES,7.80191,8.28452,8.1,8.1,8.36735,,,,8.05,,,,8.06122,,,,8.40426,,,,8.52041,,,,8.05,,,,8.06122,,,,8.28125,,,,7.92553,,,,8.4,,,,8.5,,,,8.5,,,,8.36735,,,,8.0102,,,,8.16327,,,,8.0102,,,,7.65,,,,8.36735,,,,8.2,,,,,8.1,,,,,7.9,,,,,8,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,8.52041,,,,Not Scored,,,,8.69792,,,,8.36957,,,,8.51064,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,6.25,,,,6.25,,,,6.5
03M242,P.S. 242 - The Young Diplomats Magnet Academy,ES,8.12916,8.56482,8.2,8.5,8.60215,,,,8.76344,,,,8.21809,,,,8.49462,,,,8.92857,,,,8.06452,,,,7.84946,,,,8.6828,,,,8.25269,,,,8.43085,,,,8.64362,,,,8.76374,,,,8.49462,,,,8.36022,,,,8.52151,,,,7.7957,,,,7.44505,,,,8.41667,,,,8.5,,,,,8.7,,,,,8.7,,,,,8.2,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.76882,,,,Not Scored,,,,8.51648,,,,8.61111,,,,8.80682,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,7.2619,,,,7.38636,,,,6.70455
03M243,M.S. 243 Center School,MS,8.93838,9.2161,9.1,9.3,9.2268,,,,9.10256,,,,8.84021,,,,9.32642,,,,9.6114,,,,9.39119,,,,9.13212,,,,9.47368,,,,9.4171,,,,9.4359,,,,9.37179,,,,9.39433,,,,9.16237,,,,9.23177,,,,9.38462,,,,9.13564,,,,8.86111,,,,9.21196,,,,9.6,,,,,9.5,,,,,9.1,,,,,9,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,8.11828,,,,Not Scored,,,,9.28385,,,,9.44737,,,,9.50798,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,7.8125,,,,7.8125,,,,7.85714
03M245,M.S. M245 The Computer School,MS,8.352,8.77343,8.5,8.6,8.94118,,,,8.33333,,,,8.9881,,,,8.95588,,,,9.33824,,,,8.59467,,,,8.57143,,,,8.83929,,,,8.65497,,,,8.47059,,,,8.30882,,,,8.32353,,,,8.5119,,,,8.27485,,,,8.57143,,,,8.17365,,,,7.51497,,,,8.59281,,,,9,,,,,8.6,,,,,8.5,,,,,8.2,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,8.18182,,,,Not Scored,,,,8.76488,,,,8.56509,,,,8.84615,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,7.89474,,,,8.28947,,,,7.91667
03M247,M.S. M247 Dual Language Middle School,MS,9.40511,9.51077,9.3,9.5,9.53704,,,,9.33333,,,,9.61111,,,,9.64815,,,,9.62406,,,,9.47761,,,,9.33333,,,,9.38889,,,,9.55224,,,,9.46296,,,,9.53704,,,,9.51128,,,,9.5709,,,,9.48148,,,,9.58955,,,,9.45489,,,,9.38462,,,,9.53488,,,,9.6,,,,,9.6,,,,,9.3,,,,,9.2,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.8876,,,,Not Scored,,,,9.47761,,,,9.3797,,,,9.31298,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,9.33333,,,,9.375,,,,8.92857
03M250,M.S. 250 West Side Collaborative Middle School,MS,8.8119,8.663,8.5,8.7,8.86574,,,,8.55505,,,,8.05556,,,,9.12736,,,,8.99038,,,,8.7844,,,,8.7037,,,,8.8785,,,,8.61111,,,,8.8785,,,,8.89908,,,,8.93519,,,,8.61905,,,,8.7963,,,,8.8785,,,,8.53774,,,,8.35714,,,,8.75,,,,8.8,,,,,8.6,,,,,8.8,,,,,8.5,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,6.72897,,,,Not Scored,,,,8.71495,,,,8.79717,,,,8.91509,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.82353,,,,8.82353,,,,8.82353
03M256,M.S. 256 Academic & Athletic Excellence,MS,8.52491,8.89266,8.5,8.7,9.02482,,,,8.78521,,,,8.79433,,,,8.98551,,,,8.92857,,,,8.7766,,,,8.80357,,,,8.86525,,,,8.78521,,,,8.85563,,,,8.82042,,,,8.82979,,,,8.92857,,,,8.85563,,,,8.80282,,,,8.89493,,,,8.68421,,,,8.78906,,,,8.8,,,,,8.8,,,,,8.7,,,,,8.5,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,6.78309,,,,Not Scored,,,,8.96739,,,,8.71377,,,,8.71377,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,7.5,,,,7.5,,,,8.21429
03M258,Community Action School - MS 258,MS,8.50769,8.79833,8.3,8.6,9.28947,,,,8.31579,,,,8.57895,,,,9.20213,,,,9,,,,8.68421,,,,8.64362,,,,8.67021,,,,8.36842,,,,8.76316,,,,8.64362,,,,8.84211,,,,8.7766,,,,8.45745,,,,8.7234,,,,8.19892,,,,7.93478,,,,8.86364,,,,9,,,,,8.6,,,,,8.9,,,,,8.1,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,5.70225,,,,Not Scored,,,,9.14835,,,,8.70879,,,,8.54396,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.22917,,,,8.4375,,,,7.71739
03M283,Manhattan Theatre Lab High School,HS,6.95622,6.69271,6.2,6.8,6.76471,,,,5.73529,,,,6.40625,,,,6.78571,,,,7.34375,,,,6,,,,6.40625,,,,7.34375,,,,5.58824,,,,6.47059,,,,7.03125,,,,6.76471,,,,7.5,,,,6.71875,,,,6.47059,,,,6.71875,,,,5.66667,,,,7.11538,,,,6.9,,,,,6.2,,,,,6.8,,,,,7,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,4.83333,,,,Not Scored,,,,7.1875,,,,6.5625,,,,7.33333,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,7.5,,,,7.5,,,,6.66667
03M299,"High School for Arts, Imagination and Inquiry",HS,8.31162,8.32544,7.8,8.2,8.53723,,,,7.90761,,,,7.88889,,,,8.49432,,,,8.4375,,,,8.20652,,,,8.27778,,,,8.35165,,,,7.87356,,,,8.32418,,,,8.33333,,,,8.43407,,,,8.26087,,,,8.40426,,,,8.47826,,,,8.2337,,,,8.23034,,,,8.33333,,,,8.5,,,,,8.1,,,,,8,,,,,8,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,5.19231,,,,Not Scored,,,,8.77717,,,,8.16667,,,,8.3046,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.52941,,,,8.52941,,,,7.83333
03M307,"Urban Assembly School for Media Studies, The",HS,8.13128,7.96033,7.7,8.3,8.08642,,,,7.12025,,,,7.66026,,,,8.46154,,,,8.75,,,,7.85256,,,,7.72727,,,,8.10127,,,,7.5641,,,,8.06962,,,,8.03797,,,,8.1875,,,,8.21875,,,,7.84375,,,,8.13291,,,,7.96875,,,,7.99296,,,,8.32143,,,,8.5,,,,,8.6,,,,,8.6,,,,,7.8,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,5.66456,,,,Not Scored,,,,8.30128,,,,8.18182,,,,8.22368,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.26923,,,,8.26923,,,,7.88462
03M333,P.S. 333 Manhattan School for Children,ES/MS,8.44003,8.77524,8.7,9.1,8.80299,,,,8.75628,,,,8.73116,,,,9.25625,,,,9.51754,,,,8.3715,,,,8.21701,,,,9.23611,,,,8.62437,,,,8.18296,,,,8.50374,,,,8.75625,,,,8.66793,,,,8.70277,,,,8.64213,,,,8.11518,,,,7.75469,,,,9.15167,,,,9.1,,,,,9.2,,,,,9.7,,,,,9.1,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,8.77848,,,,Not Scored,,,,8.1407,,,,8.59925,,,,9.0932,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,7.88136,,,,8.26271,,,,8.13559
