dbn,locationname,school_type,aca_p_13,com_p_13,eng_p_13,saf_p_13,p_q1a,,,,p_q1b,,,,p_q1c,,,,p_q1d,,,,p_q1e,,,,p_q1f,,,,p_q1g,,,,p_q1h,,,,p_q1i,,,,p_q1j,,,,p_q1k,,,,p_q1l,,,,p_q1m,,,,p_q1n,,,,p_q1o,,,,p_q1p,,,,p_q1q,,,,p_q1r,,,,p_q2a,,,,,p_q2b,,,,,p_q2c,,,,,p_q2d,,,,,p_q2e,,,,,p_q2f,,,,,p_q2g,,,,,p_q2h,,,,,p_q2i,,,,,p_q2j,,,,,p_q3a,,,,p_q3b,,,,p_q4a,,,,p_q4b,,,,p_q4c,,,,p_q4d,,,,p_q5a,,,,p_q5b,,,,p_q5c,,,,p_q7a,p_q7b,p_q7c,p_q7d,p_q7e,p_q7f,p_q7g,p_q7h,p_q7i,p_q7j,p_q8,,,,,,,,,,p_q9,,,,p_q10a,,,,p_q10b
01M142,P.S. 142 Amalia Castro,ES,8.51733,8.52323,8.3,8.6,8.5356,,,,8.44463,,,,8.38235,,,,8.59016,,,,8.77063,,,,8.45902,,,,8.3804,,,,8.59121,,,,8.44572,,,,8.6,,,,8.61564,,,,8.58197,,,,8.57843,,,,8.53896,,,,8.44968,,,,8.31414,,,,8.37189,,,,8.64111,,,,8.7,,,,,8.8,,,,,8.6,,,,,8.2,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.29027,,,,Not Scored,,,,8.46721,,,,8.54785,,,,8.62416,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.44262,,,,8.58871,,,,8.34746
01M184,P.S. 184m Shuang Wen,ES/MS,7.42809,7.81704,7.1,7.7,7.88344,,,,7.67584,,,,7.95525,,,,7.33025,,,,8.34112,,,,7.4537,,,,6.8652,,,,7.71226,,,,6.95925,,,,7.65432,,,,7.62384,,,,7.74295,,,,7.6941,,,,7.59346,,,,7.60252,,,,7.06026,,,,6.73013,,,,7.709,,,,8,,,,,7.6,,,,,7.7,,,,,7.3,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,6.38013,,,,Not Scored,,,,7.45313,,,,7.30469,,,,7.49216,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,7,,,,7.3913,,,,7.14286
01M188,P.S. 188 The Island School,ES/MS,8.57787,8.853,8.6,8.7,8.87097,,,,8.84409,,,,8.84211,,,,9.06085,,,,9.15323,,,,8.7234,,,,8.69048,,,,8.81148,,,,8.69048,,,,8.70968,,,,8.75661,,,,8.75676,,,,8.73016,,,,8.59043,,,,8.63032,,,,8.3871,,,,8.40659,,,,8.87006,,,,8.7,,,,,8.8,,,,,8.7,,,,,8.3,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.7,,,,Not Scored,,,,8.8172,,,,8.69624,,,,8.83784,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.51852,,,,8.33333,,,,8
01M292,Henry Street School for International Studies,MS/HS,8.21869,8.57763,8.4,8.6,8.6747,,,,8.23353,,,,8.29755,,,,8.83436,,,,9.12577,,,,8.83333,,,,8.71914,,,,8.81098,,,,8.2485,,,,8.78086,,,,8.64198,,,,8.76543,,,,8.50309,,,,8.57362,,,,8.60429,,,,8.49379,,,,8.39286,,,,8.73311,,,,8.7,,,,,8.8,,,,,8.9,,,,,8.3,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,6.21069,,,,Not Scored,,,,8.56061,,,,8.36957,,,,8.50629,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,7.42188,,,,7.42188,,,,6.89655
01M301,"Technology, Arts, and Sciences Studio",MS,7.5578,8.14568,7.5,8,8.46491,,,,7.9386,,,,7.41379,,,,8.40517,,,,8.61607,,,,8.14655,,,,7.88793,,,,8.42105,,,,7.71552,,,,7.92373,,,,8.01724,,,,8.10345,,,,7.9661,,,,8.26271,,,,7.88793,,,,7.22222,,,,6.89815,,,,8.03571,,,,7.9,,,,,8.5,,,,,8.1,,,,,7.5,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,4.10714,,,,Not Scored,,,,8.17797,,,,7.54237,,,,7.93103,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,6.875,,,,7,,,,6.66667
01M315,The East Village Community School,ES,8.48978,9.08644,9,8.9,8.98936,,,,8.90845,,,,9.09091,,,,9.45804,,,,9.72028,,,,9.05594,,,,8.87324,,,,9.49301,,,,8.75887,,,,8.73239,,,,8.67133,,,,8.9539,,,,8.85714,,,,8.83803,,,,8.92606,,,,8.32707,,,,8.14961,,,,8.54015,,,,8.7,,,,,9.1,,,,,9.3,,,,,9.1,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,9.0669,,,,Not Scored,,,,8.97163,,,,8.7766,,,,9.21986,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,7.76786,,,,8.30357,,,,6.85185
01M332,University Neighborhood Middle School,MS,8.16584,8.49698,8.1,8.6,8.61386,,,,8.11224,,,,8.375,,,,8.7,,,,9.01515,,,,8.275,,,,8.45,,,,8.20707,,,,8.08081,,,,8.38384,,,,8.28283,,,,8.34158,,,,8.44059,,,,8.35,,,,8.575,,,,7.96392,,,,7.87634,,,,8.60215,,,,8.4,,,,,8.7,,,,,8.4,,,,,8.7,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,6.48438,,,,Not Scored,,,,8.51563,,,,8.5567,,,,8.46354,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.04348,,,,8.18182,,,,6.59091
01M345,"Collaborative Academy of Science, Technology, & Language-Arts Education",MS,7.97977,8.29072,7.7,8.2,8.4434,,,,7.94811,,,,8.21429,,,,8.70283,,,,8.94231,,,,8.19048,,,,8.14356,,,,7.87879,,,,7.52381,,,,8.34906,,,,7.92453,,,,7.90476,,,,8.04245,,,,8.09524,,,,8.11905,,,,7.78846,,,,7.55051,,,,8.25521,,,,8.4,,,,,8,,,,,7.9,,,,,8,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,5.72917,,,,Not Scored,,,,8.10096,,,,8.14286,,,,8.22115,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,7.76786,,,,7.84483,,,,7.67241
01M361,The Children's Workshop School,ES,7.55787,8.93182,8.7,8.8,9.09091,,,,8.90152,,,,8.59848,,,,9.39394,,,,9.5,,,,8.63636,,,,8.61111,,,,9.53846,,,,8.52273,,,,8.63636,,,,8.29545,,,,8.78788,,,,8.86364,,,,8.92308,,,,8.82576,,,,7.99242,,,,7.58197,,,,8.63281,,,,8.6,,,,,9.1,,,,,9,,,,,8.9,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,8.5,,,,Not Scored,,,,8.57692,,,,8.65385,,,,9.19231,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,3.88889,,,,6.66667,,,,3.33333
01M363,Neighborhood School,ES,7.87421,8.5344,8.5,8.8,8.58974,,,,8.48387,,,,8.40909,,,,9.15584,,,,9.29739,,,,8.84615,,,,8.32237,,,,8.98693,,,,8.12102,,,,7.95455,,,,8.23718,,,,8.58065,,,,8.14935,,,,8.14103,,,,7.8871,,,,7.35915,,,,7.03571,,,,8.46405,,,,8.9,,,,,9,,,,,8.9,,,,,8.7,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,8.25,,,,Not Scored,,,,8.28526,,,,7.83113,,,,8.47403,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,7.32558,,,,7.84091,,,,6.97674
