dbn,locationname,school_type,aca_s_13,com_s_13,eng_s_13,saf_s_13,s_q1a,,,,s_q1b,,,,s_q1c,,,,s_q1d,,,,s_q1e,,,,s_q1f,,,,s_q1g,,,,s_q2a,,,,s_q2b,,,,s_q2c,,,,s_q2d,,,,s_q3,,,,s_q4a,,,,s_q4b,,,,s_q4c,,,,s_q4d,,,,s_q4e,,,,s_q4f,,,,s_q4g,,,,s_q4h,,,,s_q4i,,,,s_q4j,,,,s_q4k,,,,s_q5a,,,,,s_q5b,,,,,s_q6a,,,,s_q6b,,,,s_q6c,,,,s_q7a,,,,s_q7b,,,,s_q7c,,,,s_q8f,,,,s_q9a_1,s_q9a_2,s_q9a_3,s_q9a_4,s_q9a_5,s_q9a_6,s_q9b_1,s_q9b_2,s_q9b_3,s_q9b_4,s_q9b_5,s_q9b_6,s_q9c_1,s_q9c_2,s_q9c_3,s_q9c_4,s_q9c_5,s_q9c_6,s_q10a_1,s_q10a_2,s_q10a_3,s_q10a_4,s_q10a_5,s_q10b_1,s_q10b_2,s_q10b_3,s_q10b_4,s_q10b_5,s_q10c_1,s_q10c_2,s_q10c_3,s_q10c_4,s_q10c_5,s_q11a,,,,s_q11b,,,,s_q11c,,,,s_q11d,,,,s_q11e
01M142,P.S. 142 Amalia Castro,ES,N/A,N/A,N/A,N/A,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,,N/A,,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A
01M184,P.S. 184m Shuang Wen,ES/MS,8.01119,7.34519,6.77405,7.5385,8.62994,,,,8.39888,,,,7.7983,,,,7.9073,,,,7.84286,,,,6.00852,,,,8.65714,,,,7.11864,,,,7.25989,,,,7.98295,,,,6.73295,,,,N/A,,,,9.01685,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.68362,,,,8.23034,,,,7.93539,,,,6.8892,,,,8.16011,,,,7.11864,,,,6.12994,,,,8.10185,,,,,6.6879,,,,,6.49718,,,,6.72316,,,,6.93182,,,,6.27809,,,,4.81638,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,9.71429,,,,7.5431,,,,7.23988,,,,8.18571,,,,9.32471
01M188,P.S. 188 The Island School,ES/MS,9.76487,9.75556,9.76882,9.84161,9.75166,,,,9.7351,,,,9.73333,,,,9.7351,,,,9.75166,,,,9.74832,,,,9.75166,,,,9.76667,,,,9.7651,,,,9.7651,,,,9.78188,,,,N/A,,,,9.8,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,9.78477,,,,9.78333,,,,9.76667,,,,9.76821,,,,9.76821,,,,9.76667,,,,9.76821,,,,9.75,,,,,9.78041,,,,,9.82993,,,,9.81419,,,,9.81164,,,,9.79452,,,,9.79592,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,10,,,,9.7089,,,,10,,,,10,,,,10
01M292,Henry Street School for International Studies,MS/HS,7.38757,7.47365,6.57112,6.70686,7.88826,,,,7.85038,,,,7.6813,,,,7.74809,,,,7.45247,,,,5.64672,,,,8.03846,,,,7.70192,,,,6.91571,,,,7.73764,,,,6.78711,,,,6.14035,,,,8.39962,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,6.88679,,,,7.11027,,,,6.82075,,,,6.71402,,,,7.57605,,,,7.03774,,,,6.69231,,,,7.85714,,,,,6.78571,,,,,5.21617,,,,5.27358,,,,5.83333,,,,5.31132,,,,5.54924,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.02632,,,,6.67925,,,,6.65076,,,,7.0928,,,,7.94677
01M301,"Technology, Arts, and Sciences Studio",MS,7.95695,7.89282,6.86347,6.69751,8.08929,,,,8.08929,,,,7.66544,,,,7.78571,,,,7.9078,,,,6.01449,,,,8.12044,,,,8.60294,,,,7.42537,,,,8.31481,,,,7.75926,,,,N/A,,,,9.15493,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.35612,,,,7.01439,,,,6.90647,,,,7.03237,,,,7.91367,,,,7.41007,,,,7.18045,,,,7.71845,,,,,6.2605,,,,,5.19643,,,,4.83209,,,,6.39098,,,,4.94526,,,,5.80292,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,9.28309,,,,5.47445,,,,6.12963,,,,7.00368,,,,8.59259
01M315,The East Village Community School,ES,N/A,N/A,N/A,N/A,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,,N/A,,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A
01M332,University Neighborhood Middle School,MS,8.50212,8.67918,8.04618,7.98769,8.81696,,,,8.67117,,,,8.40909,,,,8.54545,,,,8.61364,,,,6.93694,,,,8.89908,,,,9.12844,,,,8.21101,,,,9.0367,,,,7.42991,,,,N/A,,,,9.20354,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,8.37054,,,,8.4009,,,,7.96875,,,,8.23394,,,,8.77273,,,,8.5,,,,8.62385,,,,8.96907,,,,,7.79279,,,,,6.84211,,,,6.84211,,,,7.30263,,,,7.32143,,,,7.74336,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,9.35841,,,,7.21239,,,,7.36364,,,,7.9955,,,,9.0991
01M345,"Collaborative Academy of Science, Technology, & Language-Arts Education",MS,7.95187,7.77428,7.02038,6.92412,8.42417,,,,8.25,,,,7.71739,,,,7.77512,,,,8.03828,,,,5.60714,,,,8.34928,,,,8.02133,,,,7.27381,,,,8.27381,,,,7.33333,,,,N/A,,,,9.11557,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.27594,,,,7.53538,,,,6.72986,,,,6.66274,,,,8.47619,,,,7.58413,,,,7.35366,,,,8.57595,,,,,6.63706,,,,,5.84928,,,,5.58824,,,,6.00728,,,,5.52381,,,,6.36905,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.72573,,,,5.80918,,,,6.2995,,,,7.31707,,,,8.42995
01M361,The Children's Workshop School,ES,N/A,N/A,N/A,N/A,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,,N/A,,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A
01M363,Neighborhood School,ES,N/A,N/A,N/A,N/A,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,,N/A,,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A
