dbn,locationname,school_type,aca_s_13,com_s_13,eng_s_13,saf_s_13,s_q1a,,,,s_q1b,,,,s_q1c,,,,s_q1d,,,,s_q1e,,,,s_q1f,,,,s_q1g,,,,s_q2a,,,,s_q2b,,,,s_q2c,,,,s_q2d,,,,s_q3,,,,s_q4a,,,,s_q4b,,,,s_q4c,,,,s_q4d,,,,s_q4e,,,,s_q4f,,,,s_q4g,,,,s_q4h,,,,s_q4i,,,,s_q4j,,,,s_q4k,,,,s_q5a,,,,,s_q5b,,,,,s_q6a,,,,s_q6b,,,,s_q6c,,,,s_q7a,,,,s_q7b,,,,s_q7c,,,,s_q8f,,,,s_q9a_1,s_q9a_2,s_q9a_3,s_q9a_4,s_q9a_5,s_q9a_6,s_q9b_1,s_q9b_2,s_q9b_3,s_q9b_4,s_q9b_5,s_q9b_6,s_q9c_1,s_q9c_2,s_q9c_3,s_q9c_4,s_q9c_5,s_q9c_6,s_q10a_1,s_q10a_2,s_q10a_3,s_q10a_4,s_q10a_5,s_q10b_1,s_q10b_2,s_q10b_3,s_q10b_4,s_q10b_5,s_q10c_1,s_q10c_2,s_q10c_3,s_q10c_4,s_q10c_5,s_q11a,,,,s_q11b,,,,s_q11c,,,,s_q11d,,,,s_q11e
02M570,Satellite Academy High School,HST,9.33365,9.47741,9.25997,9.51202,9.42164,,,,9.46296,,,,9.40299,,,,9.3609,,,,9.38433,,,,8.93657,,,,9.50758,,,,9.55556,,,,9.3797,,,,9.42164,,,,9.32836,,,,9.14122,,,,9.24074,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,9.5,,,,9.49248,,,,9.51493,,,,9.47761,,,,9.56767,,,,9.47368,,,,9.51128,,,,9.36047,,,,,9.29104,,,,,8.89493,,,,9.11111,,,,9.06716,,,,9.34307,,,,9.12313,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,9.80072,,,,9.80072,,,,9.77941,,,,9.76449,,,,9.81884
02M575,Manhattan Comprehensive Night and Day High School,HST,8.58585,7.99642,8.3247,8.73343,9.09137,,,,8.8,,,,8.57359,,,,8.86869,,,,8.75,,,,8.40587,,,,9.07445,,,,7.31707,,,,7.78398,,,,8.33502,,,,8.19898,,,,7.68154,,,,9.12,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,8.63727,,,,8.995,,,,8.83,,,,8.285,,,,8.02711,,,,8.09859,,,,8.06352,,,,8.33946,,,,,8.23004,,,,,8.17,,,,8.22144,,,,7.93851,,,,8.69718,,,,8.45691,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,9.40909,,,,9.24595,,,,9.29834,,,,9.2994,,,,9.49593
02M580,Richard R. Green High School of Teaching,HS,7.4441,7.01646,6.65863,6.94198,7.98267,,,,7.586,,,,7.17365,,,,7.59975,,,,7.40764,,,,5.25735,,,,8.04054,,,,6.93966,,,,6.65414,,,,7.53695,,,,7.09259,,,,6.70343,,,,8.41912,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.44431,,,,7.72556,,,,7.28908,,,,7.30625,,,,7.3875,,,,6.93609,,,,6.48496,,,,7.68116,,,,,6.12143,,,,,5.01247,,,,4.95647,,,,6.07234,,,,6.6604,,,,6.25622,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.34833,,,,6.35152,,,,7.63462,,,,8.17602,,,,7.73316
02M586,Harvey Milk High School,HST,8.19802,8.76555,7.36446,7.67267,8.58696,,,,8.58696,,,,8.69565,,,,8.96739,,,,8.04348,,,,6.57609,,,,9.02174,,,,9.54545,,,,8.44444,,,,8.77778,,,,8.22222,,,,7.44318,,,,8.47826,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,8.20652,,,,8.15217,,,,8.15217,,,,8.09783,,,,7.6087,,,,8.05556,,,,8.11111,,,,7.92857,,,,,7.44318,,,,,5.17045,,,,5.68182,,,,5.85227,,,,8,,,,5.66667,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.72222,,,,7.88889,,,,7.33333,,,,8.38889,,,,9.66667
02M600,The High School of Fashion Industries,HS,7.63012,6.62356,6.96927,7.21508,8.65204,,,,7.95013,,,,7.34636,,,,7.53186,,,,7.88397,,,,5.36098,,,,8.4097,,,,5.8919,,,,6.14156,,,,7.32477,,,,7.03282,,,,6.38444,,,,8.74167,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.39639,,,,8.06075,,,,7.42657,,,,7.47495,,,,7.76642,,,,6.63241,,,,7.37903,,,,8.44407,,,,,6.13004,,,,,5.16264,,,,5.34759,,,,6.38982,,,,5.43398,,,,7.50334,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.82187,,,,6.94162,,,,8.02211,,,,8.57045,,,,9.47306
02M605,Humanities Preparatory Academy,HST,8.06937,8.27804,7.60434,8.16547,8.61465,,,,8.47134,,,,7.96178,,,,7.85032,,,,7.85032,,,,6.21019,,,,8.88535,,,,8.95833,,,,7.77244,,,,8.25321,,,,7.80645,,,,6.79739,,,,8.48726,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,8.26433,,,,8.75796,,,,8.42357,,,,8.14103,,,,7.86624,,,,7.91401,,,,8.65385,,,,8.7395,,,,,7.74648,,,,,7.5,,,,6.82692,,,,7.67742,,,,6.41026,,,,7.03526,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.57962,,,,8.51613,,,,8.98693,,,,9.58065,,,,9.32692
02M615,Chelsea Career and Technical Education High School,HS,7.97052,7.60842,6.93725,7.61007,8.5687,,,,8.20431,,,,7.90281,,,,7.91985,,,,8.02532,,,,5.87342,,,,8.43038,,,,7.98223,,,,6.99873,,,,8.00254,,,,7.80769,,,,6.97917,,,,8.80711,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.74051,,,,8.13138,,,,8.11069,,,,7.72785,,,,8.25316,,,,6.9402,,,,7.04604,,,,7.9251,,,,,6.64583,,,,,6.3198,,,,6.04859,,,,6.96015,,,,7.02411,,,,6.14848,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.59694,,,,7.48096,,,,7.88462,,,,8.18066,,,,9.09033
02M620,Norman Thomas High School,HS,6.83831,6.69726,6.62274,6.68692,7.16619,,,,7.00557,,,,6.89246,,,,6.92737,,,,6.96229,,,,6.39356,,,,7.10784,,,,6.68803,,,,6.62393,,,,6.75501,,,,6.58571,,,,6.50568,,,,6.98736,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,6.73669,,,,6.77669,,,,6.71788,,,,6.62709,,,,6.61268,,,,6.5113,,,,6.38418,,,,7.32258,,,,,6.62773,,,,,6.22464,,,,5.73066,,,,6.38006,,,,6.18644,,,,6.03693,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.57205,,,,6.82081,,,,6.94767,,,,7.25575,,,,7.13256
02M625,High School of Graphic Communication Arts,HS,6.61045,6.39549,5.51478,5.65874,7.09098,,,,6.82805,,,,6.46077,,,,6.66946,,,,6.67085,,,,4.15268,,,,7.11474,,,,6.75676,,,,5.60593,,,,6.67652,,,,6.12245,,,,5.83616,,,,7.82917,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,5.80551,,,,6.67642,,,,6.23122,,,,5.80402,,,,6.71536,,,,5.96896,,,,5.7868,,,,7.34772,,,,,4.69118,,,,,4.28261,,,,3.94164,,,,5.26614,,,,4.45122,,,,4.66205,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.60714,,,,4.62478,,,,6.17647,,,,6.71329,,,,6.52021
02M630,Art and Design High School,HS,7.40562,6.75955,6.45511,7.01113,8.13739,,,,7.58487,,,,7.13173,,,,7.09517,,,,7.37069,,,,5.02837,,,,8.28326,,,,6.51204,,,,6.08108,,,,7.30057,,,,6.96862,,,,6.56877,,,,8.32744,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.00495,,,,7.7845,,,,7.36917,,,,7.49645,,,,7.4611,,,,6.63489,,,,6.47646,,,,7.94482,,,,,5.89404,,,,,5.87943,,,,5.22436,,,,6.4194,,,,5.8534,,,,6.21631,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.49222,,,,7.69858,,,,7.8312,,,,8.21835,,,,8.47656
02M655,Life Sciences Secondary School,MS/HS,7.62275,7.0457,6.60876,6.11223,8.00758,,,,7.8125,,,,7.32416,,,,7.73556,,,,7.79321,,,,5.27356,,,,8.58994,,,,7.03704,,,,6.47059,,,,7.87037,,,,7.37616,,,,6.341,,,,8.6858,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,6.78788,,,,7.30887,,,,6.06383,,,,6.44939,,,,7.4696,,,,6.77591,,,,6.13982,,,,7.85533,,,,,5.79897,,,,,4.93884,,,,4.79294,,,,6.01538,,,,3.34862,,,,6.65644,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.37957,,,,5.71101,,,,6.26947,,,,6.93252,,,,7.96779
02M896,Lower Manhattan Community Middle School,MS,8.18777,7.88422,7.55356,7.70035,8.91047,,,,8.57023,,,,8.01667,,,,8.10606,,,,8.38629,,,,5.96801,,,,8.56902,,,,7.97819,,,,7.55814,,,,8.36093,,,,7.30066,,,,N/A,,,,9.19435,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.80936,,,,8.27815,,,,7.66667,,,,7.74247,,,,8.42193,,,,7.65781,,,,8.01347,,,,8.55603,,,,,7.85326,,,,,5.88384,,,,6.15772,,,,6.29195,,,,8.14597,,,,7.87625,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,9.67199,,,,7.33156,,,,6.58127,,,,6.89286,,,,9.1637
03M009,P.S. 009 Sarah Anderson,ES,N/A,N/A,N/A,N/A,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,,N/A,,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A
03M054,J.H.S. 054 Booker T. Washington,MS,8.27366,7.65496,7.40354,7.531,9.0584,,,,8.43215,,,,7.87748,,,,8.07058,,,,8.03,,,,6.19128,,,,8.96,,,,7.44348,,,,7.43065,,,,8.57424,,,,7.41667,,,,N/A,,,,9.02669,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.81621,,,,8.67824,,,,7.48333,,,,7.30949,,,,8.14753,,,,7.64391,,,,7.80795,,,,8.43625,,,,,6.82117,,,,,6.08234,,,,6.3255,,,,6.89424,,,,6.94075,,,,7.14333,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,9.31756,,,,7.05601,,,,7.10274,,,,7.71724,,,,8.64413
03M075,P.S. 075 Emily Dickinson,ES,N/A,N/A,N/A,N/A,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,,N/A,,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A
03M076,P.S. 076 A. Philip Randolph,ES/MS,9.27107,9.09564,8.86863,8.90862,9.31818,,,,9.10511,,,,9.03409,,,,8.86494,,,,9.20455,,,,8.08239,,,,9.58807,,,,9.10511,,,,8.80682,,,,9.58571,,,,9.37143,,,,N/A,,,,9.71591,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,9.09091,,,,9.0767,,,,8.82102,,,,8.93466,,,,9.30398,,,,9.14773,,,,9.05714,,,,9.20588,,,,,8.80058,,,,,8.24286,,,,8.18571,,,,8.68571,,,,8.2,,,,9.15714,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,9.9,,,,9.67143,,,,7.32759,,,,9.37143,,,,9.82759
03M084,P.S. 084 Lillian Weber,ES,N/A,N/A,N/A,N/A,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,,N/A,,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A
03M087,P.S. 087 William Sherman,ES,N/A,N/A,N/A,N/A,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,,N/A,,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A
03M145,"P.S. 145, The Bloomingdale School",ES,N/A,N/A,N/A,N/A,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,,N/A,,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A
03M149,P.S. 149 Sojourner Truth,ES/MS,7.56135,7.01231,6.79923,6.22353,7.69022,,,,8.06818,,,,6.70455,,,,6.96023,,,,7.69886,,,,5.86207,,,,8.31461,,,,6.91667,,,,7.04545,,,,8.0618,,,,7.52809,,,,N/A,,,,9.02778,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,6.97059,,,,7.06395,,,,6.32353,,,,6.2069,,,,7,,,,7.41573,,,,7.23214,,,,8.20896,,,,,6.23457,,,,,3.65169,,,,4.65116,,,,4.70238,,,,3.36111,,,,5.90909,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.75,,,,5.89286,,,,5.67073,,,,6.3253,,,,8.76543
03M163,P.S. 163 Alfred E. Smith,ES,N/A,N/A,N/A,N/A,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,,N/A,,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A
03M165,P.S. 165 Robert E. Simon,ES/MS,9.35704,9.05664,8.93513,8.8914,9.25824,,,,9.42308,,,,9.03846,,,,9.22222,,,,9.43681,,,,8.32418,,,,9.67877,,,,8.83978,,,,9.15278,,,,9.52778,,,,9.25,,,,N/A,,,,9.63115,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,8.98352,,,,9.16209,,,,8.79781,,,,8.75683,,,,9.2033,,,,9.29167,,,,8.79888,,,,9.36688,,,,,8.98844,,,,,8.11453,,,,8.24438,,,,8.78531,,,,8.40782,,,,8.84831,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,9.93017,,,,8.17039,,,,8.92458,,,,9.09218,,,,9.88827
03M166,P.S. 166 The Richard Rodgers School of The Arts and Technology,ES,N/A,N/A,N/A,N/A,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,,N/A,,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A
03M180,P.S. 180 Hugo Newman,ES/MS,8.72514,8.49167,8.01367,8.03173,9.15,,,,8.675,,,,8.425,,,,8.175,,,,8.83838,,,,7.125,,,,9.4,,,,8.75,,,,8.55,,,,8.875,,,,8.78788,,,,N/A,,,,9.4,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,8.1,,,,8.23232,,,,7.975,,,,8.3,,,,8.71212,,,,8.3,,,,8.20707,,,,8.34337,,,,,7.33516,,,,,7.175,,,,7.25,,,,7.225,,,,6.625,,,,7.95,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,10,,,,7.275,,,,7.32143,,,,8.61111,,,,9.425
03M185,P.S. 185 - The Early Childhood Discovery and Design Magnet School,ECC,N/A,N/A,N/A,N/A,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,,N/A,,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A
